seed,protocol,fold_or_condition,partition,class,n,raw_mean,raw_sd,raw_q25,raw_median,raw_q75,latent_mean,latent_sd,latent_q25,latent_median,latent_q75
44,event_disjoint,S3,train,gangue,40,0.7421191960,0.0440603296,0.7142899365,0.7395469176,0.7751480840,0.8014897689,0.0428181349,0.7733824151,0.7972709073,0.8322991418
44,event_disjoint,S4,test,coal,10,0.3171030573,0.0354894071,0.2885771787,0.3180710192,0.3472862711,0.2568914852,0.0317803999,0.2443474653,0.2559739847,0.2700051368
44,event_disjoint,S4,test,empty,9,0.3967624457,0.0683078450,0.3431149838,0.4175847549,0.4527191456,0.3750544974,0.0356764400,0.3468297195,0.3889134739,0.3984875731
44,event_disjoint,S4,test,gangue,11,0.7395114973,0.0393257694,0.7170149666,0.7289978686,0.7653755128,0.7527979090,0.0284588668,0.7286536964,0.7439755385,0.7754856987
44,event_disjoint,S4,train,coal,34,0.3302268280,0.0424886891,0.3028824778,0.3256239140,0.3680221916,0.2860775296,0.0304728327,0.2652413635,0.2946077349,0.3041399948
44,event_disjoint,S4,train,empty,29,0.3587803354,0.0432190548,0.3293756635,0.3588374663,0.3855772532,0.3471651977,0.0404005516,0.3271083746,0.3514352951,0.3668817854
44,event_disjoint,S4,train,gangue,40,0.7371542930,0.0440461989,0.7062162843,0.7346218526,0.7674417827,0.7973645595,0.0412596401,0.7650900677,0.7971069389,0.8236896223
44,event_disjoint,S5,test,coal,10,0.2859699004,0.0356464247,0.2607761365,0.2869605232,0.3071439094,0.2604485592,0.0289063986,0.2517608820,0.2573858506,0.2787093072
44,event_disjoint,S5,test,empty,9,0.3852204275,0.0446628105,0.3598000950,0.3729966335,0.4258223576,0.3769001637,0.0331938031,0.3489029033,0.3833054731,0.3949618399
44,event_disjoint,S5,test,gangue,11,0.6927061994,0.0404666934,0.6658189003,0.6881798155,0.7087891251,0.7625642479,0.0435034597,0.7535452197,0.7729483505,0.7835443231
44,event_disjoint,S5,train,coal,34,0.3012810540,0.0441184783,0.2792550113,0.3052840269,0.3346403422,0.2549047177,0.0264092112,0.2395739377,0.2469139097,0.2680468134
44,event_disjoint,S5,train,empty,29,0.3511351650,0.0338870888,0.3247907903,0.3486117111,0.3711047807,0.3363550268,0.0317521676,0.3076142831,0.3351624257,0.3600619578
44,event_disjoint,S5,train,gangue,40,0.7486161768,0.0425855241,0.7203560635,0.7406638760,0.7829573348,0.7990272923,0.0470686688,0.7698475979,0.7928174264,0.8238396928
44,event_disjoint,S6,test,coal,10,0.3185400811,0.0406285555,0.2846059595,0.3076321473,0.3509675262,0.2811224198,0.0306038266,0.2677118391,0.2801073719,0.3036245508
44,event_disjoint,S6,test,empty,9,0.3600797649,0.0515294907,0.3402969579,0.3630376584,0.3854708668,0.3097514618,0.0435374666,0.2841351494,0.3082112973,0.3259423836
44,event_disjoint,S6,test,gangue,11,0.7114109181,0.0356567751,0.6928245822,0.6998112325,0.7357282567,0.7951255573,0.0438216505,0.7802776277,0.8037170523,0.8206392288
44,event_disjoint,S6,train,coal,34,0.3145479213,0.0337726581,0.2921477295,0.3141929500,0.3309474178,0.2657036361,0.0348618882,0.2475633215,0.2673478786,0.2838901279
44,event_disjoint,S6,train,empty,29,0.3579109258,0.0403625547,0.3401019502,0.3666693032,0.3833015845,0.3347849148,0.0345225625,0.3156386830,0.3357976841,0.3637920703
44,event_disjoint,S6,train,gangue,40,0.7227251628,0.0539628573,0.6847494180,0.7262845106,0.7533258439,0.7806184846,0.0368924473,0.7591879240,0.7861782952,0.8035619408
44,group_lonso,S0,test,coal,10,0.3668400865,0.0475404295,0.3495576354,0.3684384796,0.3905000784,0.2825105969,0.0332273396,0.2552308599,0.2812214978,0.3030124515
44,group_lonso,S0,test,empty,9,0.3500605408,0.0367848022,0.3325086913,0.3470568309,0.3828340668,0.3221073564,0.0284667469,0.3156724287,0.3244322269,0.3311956007
44,group_lonso,S0,test,gangue,11,0.6991599944,0.0215290055,0.6873889289,0.6999723622,0.7014277734,0.7860656987,0.0404050717,0.7595787425,0.7737411423,0.8075052268
44,group_lonso,S0,train,coal,34,0.3198062445,0.0393230085,0.2914227928,0.3163273099,0.3440842379,0.2824470021,0.0372582315,0.2578177293,0.2885578368,0.3045097970
44,group_lonso,S0,train,empty,29,0.3552293485,0.0400258900,0.3343597512,0.3527336401,0.3884420689,0.3408183370,0.0349454474,0.3192362699,0.3474456196,0.3714012103
44,group_lonso,S0,train,gangue,40,0.7309203032,0.0472354669,0.7141710342,0.7379063760,0.7543009871,0.7930889559,0.0469118130,0.7663115613,0.7885520091,0.8256233114
44,group_lonso,S1,test,coal,10,0.2640605352,0.0448307640,0.2342169013,0.2546255633,0.2870179338,0.2544508731,0.0276563972,0.2386224326,0.2547640416,0.2622621134
44,group_lonso,S1,test,empty,9,0.4027210374,0.0231671206,0.3888212744,0.3954917660,0.4176918453,0.4000900420,0.0304072561,0.3752542789,0.4118182951,0.4239641251
44,group_lonso,S1,test,gangue,11,0.7760931469,0.0466834047,0.7565184668,0.7924310915,0.8060241229,0.7956157420,0.0306846547,0.7747881325,0.7918673343,0.8151369161
44,group_lonso,S1,train,coal,34,0.3220242485,0.0413747743,0.2977751079,0.3222773315,0.3461109901,0.2510623976,0.0325736030,0.2313721214,0.2523623209,0.2656479142
44,group_lonso,S1,train,empty,29,0.3631286565,0.0432199837,0.3408441201,0.3650265683,0.3871749411,0.3419808114,0.0375724823,0.3099355156,0.3427910247,0.3814348482
44,group_lonso,S1,train,gangue,40,0.7439760214,0.0426658152,0.7159991186,0.7443455543,0.7641076160,0.7962651768,0.0375341277,0.7795018431,0.7902084424,0.8246023002
44,group_lonso,S2,test,coal,10,0.3491045778,0.0302282844,0.3463542333,0.3576107074,0.3666123788,0.3246220632,0.0189136180,0.3111107196,0.3235388571,0.3411713587
44,group_lonso,S2,test,empty,9,0.4262124961,0.0419066455,0.3949145014,0.4395086143,0.4562377016,0.3514068489,0.0399345744,0.3208362536,0.3529764347,0.3937909410
44,group_lonso,S2,test,gangue,11,0.7513533476,0.0279222173,0.7305503478,0.7593661038,0.7695240819,0.7989770188,0.0338203944,0.7838395667,0.7992767037,0.8220731130
44,group_lonso,S2,train,coal,34,0.3362883026,0.0411944796,0.3076551923,0.3413384778,0.3728333891,0.2677146134,0.0302909850,0.2397816951,0.2658750020,0.2953264446
44,group_lonso,S2,train,empty,29,0.3643692184,0.0395667882,0.3419972618,0.3645673896,0.3951017088,0.3579436118,0.0441657934,0.3318806341,0.3599641083,0.3918685123
44,group_lonso,S2,train,gangue,40,0.7306016322,0.0409194104,0.7040329267,0.7289563726,0.7594309529,0.7933719808,0.0401712247,0.7644118442,0.7931560643,0.8134653562
44,group_lonso,S3,test,coal,10,0.2319443578,0.0510440446,0.2070009103,0.2365351837,0.2674321217,0.1965991379,0.0242776365,0.1865793691,0.1934758869,0.2122335237
44,group_lonso,S3,test,empty,9,0.3723011299,0.0355580275,0.3572291550,0.3706606291,0.3861786139,0.3138656007,0.0364529651,0.2785280267,0.3149669090,0.3400166867
44,group_lonso,S3,test,gangue,11,0.7238838625,0.0427362014,0.6911042589,0.7189274116,0.7459254721,0.7898331145,0.0499222938,0.7496684581,0.7771665894,0.8201097337
44,group_lonso,S3,train,coal,34,0.3068647734,0.0330513694,0.2804848925,0.3051691560,0.3246922172,0.2830685414,0.0329585646,0.2598774015,0.2775240269,0.2938190054
44,group_lonso,S3,train,empty,29,0.3716411802,0.0390872675,0.3443160869,0.3650650636,0.3993448519,0.3435731696,0.0362297003,0.3175149759,0.3392631800,0.3659139491
44,group_lonso,S3,train,gangue,40,0.7251544467,0.0499017142,0.6881269095,0.7198631077,0.7528821266,0.7817759162,0.0422429973,0.7520456247,0.7847571143,0.8144886552
44,group_lonso,S4,test,coal,10,0.3291559816,0.0323852346,0.3143810061,0.3318133499,0.3502335415,0.2803423493,0.0354785978,0.2683402775,0.2909979461,0.3050249287
44,group_lonso,S4,test,empty,9,0.3390428059,0.0466414190,0.3141440147,0.3295269779,0.3736315695,0.2910858865,0.0393729543,0.2551013265,0.2726342362,0.3203097268
44,group_lonso,S4,test,gangue,11,0.7589888957,0.0293419308,0.7460721357,0.7575670430,0.7762751664,0.7781280656,0.0514157777,0.7457563467,0.7874361052,0.8109074031
44,group_lonso,S4,train,coal,34,0.2856911630,0.0325507208,0.2632310862,0.2799107794,0.3135804550,0.2572787418,0.0333942140,0.2318594361,0.2598294273,0.2821593548
44,group_lonso,S4,train,empty,29,0.3813898996,0.0457737690,0.3504911223,0.3787297613,0.4107067008,0.3526159704,0.0335853273,0.3259356498,0.3454091500,0.3898250363
44,group_lonso,S4,train,gangue,40,0.7346905236,0.0318481317,0.7113813382,0.7367713567,0.7586503047,0.7959577879,0.0336326839,0.7742525311,0.8046470424,0.8249986521
44,group_lonso,S5,test,coal,10,0.2176191160,0.0371045944,0.1939948128,0.2062643807,0.2462636699,0.2352002221,0.0311333423,0.2289637198,0.2347998143,0.2571842126
44,group_lonso,S5,test,empty,9,0.3789076584,0.0405142145,0.3465753717,0.3943021828,0.4143203951,0.3052120681,0.0299840730,0.2844601411,0.3135397373,0.3260029550
44,group_lonso,S5,test,gangue,11,0.7815904566,0.0517440682,0.7570349518,0.7809661054,0.8135801314,0.8288628837,0.0353845984,0.7988356897,0.8264880379,0.8536991678
44,group_lonso,S5,train,coal,34,0.3181458212,0.0423255785,0.2913553146,0.3195439500,0.3426022654,0.2738890383,0.0307214660,0.2539657267,0.2748790314,0.2917954269
44,group_lonso,S5,train,empty,29,0.3574907056,0.0535938993,0.3235841754,0.3560776866,0.3951491481,0.3545060767,0.0325426425,0.3323207255,0.3567262428,0.3744255583
44,group_lonso,S5,train,gangue,40,0.7260641239,0.0401930824,0.7042775925,0.7334733617,0.7518824517,0.7697238698,0.0346476314,0.7548336186,0.7659497384,0.7943569712
44,group_lonso,S6,test,coal,10,0.2442470874,0.0379279066,0.2171473537,0.2368277199,0.2601819975,0.2496219119,0.0199747369,0.2334962888,0.2452629956,0.2666748543
44,group_lonso,S6,test,empty,9,0.3307321198,0.0246798398,0.3175182125,0.3216009226,0.3410183055,0.3782760498,0.0428184451,0.3467437430,0.3741966310,0.4170943652
44,group_lonso,S6,test,gangue,11,0.7798942792,0.0515758060,0.7544030100,0.7683589393,0.8264893264,0.8256560801,0.0405314582,0.8081891512,0.8291209483,0.8538677806
44,group_lonso,S6,train,coal,34,0.3416867670,0.0335244985,0.3273114578,0.3399421633,0.3572255233,0.2900320058,0.0366110541,0.2698012385,0.2897805196,0.3164477443
44,group_lonso,S6,train,empty,29,0.3689483075,0.0371821317,0.3428152742,0.3710594219,0.3953150109,0.3374850608,0.0374887614,0.3107784353,0.3444010620,0.3620284557
